GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new
361190109034008,36,119,010903,4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021005,36,119,011902,1005,23,14,0,0,0,0,3,6,23,4,19,14,0,0,0,0,3,2,6,6,0,0,0,0,0,0,0,0,0,0,0,092,092
361190120002029,36,119,012000,2029,55,43,0,0,4,0,6,2,55,8,47,43,0,0,4,0,0,0,20,18,2,0,0,0,0,0,0,0,0,0,0,092,092
361190121022019,36,119,012102,2019,30,26,0,0,0,0,1,3,30,3,27,25,0,0,0,0,0,2,12,8,4,0,0,0,0,0,0,0,0,0,0,092,092
361190021042001,36,119,002104,2001,17,6,0,0,2,0,3,6,17,5,12,6,0,0,2,0,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,090,090
361190021071004,36,119,002107,1004,54,25,2,1,5,0,9,12,54,22,32,17,2,1,5,0,0,7,20,20,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021041001,36,119,002104,1001,36,24,2,0,1,0,9,0,36,17,19,18,0,0,1,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,090,090
361190021041008,36,119,002104,1008,26,24,0,0,0,0,0,2,26,1,25,24,0,0,0,0,0,1,9,4,5,0,0,0,0,0,0,0,0,0,0,090,090
361190021041013,36,119,002104,1013,59,44,3,0,7,0,1,4,59,17,42,28,3,0,7,0,0,4,14,14,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022041007,36,119,002204,1007,22,18,0,0,1,0,3,0,22,3,19,18,0,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022011010,36,119,002201,1010,26,17,0,0,5,0,3,1,26,7,19,14,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022011023,36,119,002201,1023,23,20,0,0,0,0,1,2,23,1,22,20,0,0,0,0,0,2,13,13,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022011017,36,119,002201,1017,28,22,1,0,0,0,0,5,28,4,24,22,1,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022023007,36,119,002202,3007,72,36,14,0,5,0,4,13,72,19,53,32,14,0,5,0,0,2,27,27,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022023000,36,119,002202,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090
361190022023012,36,119,002202,3012,28,23,2,0,2,0,0,1,28,1,27,23,2,0,2,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,090,090
361190009001012,36,119,000900,1012,85,38,6,0,1,0,23,17,85,35,50,38,6,0,1,0,2,3,28,28,0,0,0,0,0,0,0,0,0,0,0,092,090
361190021051013,36,119,002105,1013,118,48,6,0,60,0,0,4,118,2,116,48,6,0,60,0,0,2,38,38,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021062001,36,119,002106,2001,182,50,44,0,34,0,15,39,182,60,122,35,33,0,34,0,3,17,87,74,13,0,0,0,0,0,0,0,0,0,0,090,090
361190021071018,36,119,002107,1018,46,30,1,0,6,0,1,8,46,8,38,30,0,0,6,0,1,1,12,12,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021052018,36,119,002105,2018,23,19,0,0,0,0,1,3,23,1,22,19,0,0,0,0,0,3,9,9,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021031017,36,119,002103,1017,38,29,0,0,6,0,0,3,38,4,34,28,0,0,6,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,090,090
361190120001002,36,119,012000,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190116021006,36,119,011602,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190118003035,36,119,011800,3035,7,6,0,0,0,0,0,1,7,4,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,092,092
361190121013032,36,119,012101,3032,78,71,0,0,0,0,2,5,78,3,75,71,0,0,0,0,0,4,28,28,0,0,0,0,0,0,0,0,0,0,0,092,092
361190121013029,36,119,012101,3029,32,26,0,0,4,0,0,2,32,2,30,26,0,0,4,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,092,092
361190121013011,36,119,012101,3011,86,80,0,0,0,0,0,6,86,7,79,79,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,092,092
361190121013034,36,119,012101,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021028,36,119,011902,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021038,36,119,011902,1038,77,66,1,1,0,0,2,7,77,4,73,66,1,1,0,0,0,5,25,25,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021044,36,119,011902,1044,26,14,4,0,5,0,0,3,26,0,26,14,4,0,5,0,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021042,36,119,011902,1042,21,17,0,0,0,0,2,2,21,3,18,17,0,0,0,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021040,36,119,011902,1040,27,21,4,1,0,0,1,0,27,2,25,21,4,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021041,36,119,011902,1041,29,23,3,0,0,0,1,2,29,5,24,22,2,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119023000,36,119,011902,3000,29,23,5,0,0,0,1,0,29,9,20,19,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190021062006,36,119,002106,2006,234,27,92,3,57,0,32,23,234,43,191,26,92,0,57,0,0,16,108,108,0,0,0,0,0,0,0,0,0,0,0,090,090
361190112003011,36,119,011200,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190021013009,36,119,002101,3009,316,175,34,1,18,0,46,42,316,82,234,156,34,1,18,0,8,17,167,166,1,0,0,0,0,0,0,0,0,0,0,090,090
361190021042019,36,119,002104,2019,38,19,2,0,10,0,2,5,38,4,34,18,2,0,10,0,2,2,12,12,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021042002,36,119,002104,2002,49,12,6,0,14,0,14,3,49,16,33,12,4,0,14,0,2,1,22,22,0,0,0,0,0,0,0,0,0,0,0,090,090
361190119022007,36,119,011902,2007,31,22,0,1,2,0,0,6,31,2,29,22,0,0,2,0,0,5,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119022008,36,119,011902,2008,37,14,2,0,5,0,10,6,37,15,22,14,1,0,5,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119023003,36,119,011902,3003,392,262,33,7,19,0,17,54,392,65,327,253,27,3,19,0,4,21,142,137,5,31,31,31,0,0,0,0,0,0,0,092,092
361190109034002,36,119,010903,4002,47,3,17,0,2,0,17,8,47,20,27,3,17,0,2,0,2,3,18,18,0,0,0,0,0,0,0,0,0,0,0,092,092
361190109011019,36,119,010901,1019,48,39,0,0,1,0,0,8,48,6,42,39,0,0,1,0,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,092,092
