GEOID,ad_old,ad_new,type,people,latitude,longitude,moved
361190009001012,092,090,between districts,85,40.97816100002571,-73.8663064855628,092 to 090
361190009001013,092,090,between districts,0,40.968098500247024,-73.87106884930702,092 to 090
361190131022028,092,,left study area,3,41.15177599992383,-73.77456701806926,092 to outside
361190131022027,092,,left study area,0,41.15282099995224,-73.77449025132275,092 to outside
361190024034008,089,090,between districts,154,40.91566850016996,-73.85202683773127,089 to 090
361190107013009,092,,left study area,0,41.00944250013809,-73.82939954105981,092 to outside
361190009001009,092,090,between districts,0,40.97198800014509,-73.86893306049502,092 to 090
361190007022001,090,092,between districts,0,40.96371749996187,-73.89173523262568,090 to 092
361190024034009,089,090,between districts,101,40.915063500313096,-73.85229236760281,089 to 090
361190009003002,092,090,between districts,50,40.9793289999138,-73.86736755250024,092 to 090
361190009001015,092,090,between districts,69,40.97663900010993,-73.86707420683246,092 to 090
361190008022001,092,090,between districts,298,40.96482649983083,-73.87535881114462,092 to 090
361190008022006,092,090,between districts,196,40.959757499919434,-73.87631264833952,092 to 090
361190008022007,092,090,between districts,80,40.95949649977259,-73.87739919414254,092 to 090
361190008022003,092,090,between districts,35,40.96238849996553,-73.87399506805585,092 to 090
361190019001019,092,090,between districts,0,40.96591750011423,-73.87123048097028,092 to 090
361190008015005,092,090,between districts,93,40.960462000026574,-73.8790113833376,092 to 090
361190131022029,092,,left study area,0,41.15159549997418,-73.77378460409278,092 to outside
361190131022025,092,,left study area,0,41.15260349991969,-73.77406217859321,092 to outside
361190009001011,092,090,between districts,54,40.9781624998946,-73.86698571791729,092 to 090
361190009003013,092,090,between districts,43,40.97934299979256,-73.86651382707149,092 to 090
361190007022002,090,092,between districts,541,40.96367599999665,-73.89111235298877,090 to 092
361190009003001,092,090,between districts,26,40.980048500151554,-73.86638633685324,092 to 090
361190118001003,,092,entered study area,10,41.147594499906276,-73.82155344079551,outside to 092
361190009003000,092,090,between districts,19,40.980012499960466,-73.86566824203175,092 to 090
361190008022000,092,090,between districts,0,40.9622190001716,-73.87186529870766,092 to 090
361190008022004,092,090,between districts,422,40.960081499900895,-73.87361446856028,092 to 090
361190009001010,092,090,between districts,0,40.976416499776505,-73.8679867567109,092 to 090
361190009001003,092,090,between districts,0,40.977840000108486,-73.86588250253999,092 to 090
361190009001002,092,090,between districts,29,40.976718000090706,-73.86642918147598,092 to 090
361190008022002,092,090,between districts,81,40.96346450019413,-73.87396796674632,092 to 090
361190007022000,090,092,between districts,0,40.966682499937534,-73.8963165285632,090 to 092
361190008022005,092,090,between districts,76,40.9597865000372,-73.87533098818781,092 to 090
361190009003014,092,090,between districts,35,40.97932599998586,-73.86579015693263,092 to 090
361190008022010,092,090,between districts,0,40.96139399993279,-73.87130577354401,092 to 090
